name,date,start,end,location
Board of Trustees,9/19/17,,,
Board of Trustees,9/20/17,,,
Board of Trustees,11/7/17,,,
Board of Trustees,11/8/17,,,
Board of Trustees,1/30/18,,,
Board of Trustees,1/31/18,,,
Board of Trustees,3/20/18,,,
Board of Trustees,3/21/18,,,
Board of Trustees,5/15/18,,,
Board of Trustees,5/16/18,,,
Board of Trustees,7/24/18,,,
Board of Trustees,7/25/18,,,
Board of Trustees,9/11/17,,,
Board of Trustees,9/12/17,,,
Board of Trustees,11/13/18,,,
Board of Trustees,11/14/18,,,
